species	phenology lower	phenology upper	mean phenology	year	latitude	longitude	mean centre latitude	grid_50km	grid_5km	tray
oak	113	113	113	2000	52.43524838	-0.349527779	-0.194232397	5 10	56 102	NA
oak	130	130	130	2000	53.33394757	-1.520932406	0.704466795	7 8	76 86	NA
oak	112	112	112	2000	50.85240209	0.280195357	-1.777078684	2 11	21 112	NA
oak	129	129	129	2000	52.29218298	-3.592272248	-0.337297791	5 5	53 58	NA
oak	119	119	119	2000	55.98729518	-4.805325661	3.357814404	13 4	136 45	NA
oak	82	82	82	2000	53.22805536	-4.164633957	0.59857458	7 5	74 51	NA
oak	126	126	126	2000	52.19057116	-3.124888665	-0.438909611	5 6	51 64	NA
oak	115	115	115	2000	52.36503792	-0.548954347	-0.264442853	5 9	55 99	NA
oak	121	121	121	2000	52.12162462	-2.628675086	-0.50785615	4 7	49 71	NA
oak	114	114	114	2000	51.30711849	-2.865002302	-1.322362288	3 6	31 67	NA
oak	132	132	132	2000	55.61296335	-3.065218072	2.983482574	12 6	127 66	NA
oak	119	119	119	2000	51.07098639	-0.045956927	-1.558494388	2 10	26 107	NA
oak	111	111	111	2000	53.04455074	-0.396458813	0.415069961	7 10	70 101	NA
oak	122	122	122	2000	50.51670439	-4.07343107	-2.112776389	1 5	14 50	NA
oak	128	128	128	2000	53.14343729	-1.343651512	0.513956514	7 8	72 88	NA
oak	128	128	128	2000	53.4950403	-3.020443531	0.865559525	8 6	80 66	NA
oak	134	134	134	2000	57.992412	-4.4122025	5.362931227	18 5	180 51	NA
oak	74	74	74	2000	51.03402774	-0.268584448	-1.595453034	2 10	25 104	NA
oak	123	123	123	2000	54.08290685	-0.911168187	1.453426073	9 9	93 94	NA
oak	122	122	122	2000	52.09905094	-3.827742268	-0.530429836	4 5	49 54	NA
oak	114	114	114	2000	52.83208368	-4.587306328	0.202602909	6 4	65 45	NA
oak	119	119	119	2000	51.95908261	-2.307018791	-0.670398166	4 7	45 75	NA
oak	122	122	122	2000	52.9940476	-2.207045828	0.364566821	6 7	68 77	NA
oak	120	120	120	2000	53.1522691	-2.176106597	0.52278832	7 7	72 77	NA
oak	126	126	126	2000	53.96328604	-0.972651361	1.333805267	9 9	90 93	NA
oak	122	122	122	2000	53.86335407	-0.9538121	1.233873292	8 9	88 93	NA
oak	112	112	112	2000	51.83742507	0.731267775	-0.792055705	4 11	43 117	NA
oak	131	131	131	2000	50.78731853	-2.581576692	-1.842162246	1 7	19 71	NA
oak	128	128	128	2001	51.45629597	-1.00974364	-1.173184806	3 9	34 93	NA
oak	138	138	138	2001	54.41535509	-5.517995539	1.78587431	10 3	101 34	NA
oak	135	135	135	2001	51.0015138	-3.678794086	-1.627966974	2 5	24 56	NA
oak	116	116	116	2001	51.82947974	0.819807598	-0.800001037	4 11	43 118	NA
oak	135	135	135	2001	53.08741777	-2.265723528	0.45793699	7 7	70 76	NA
oak	131	131	131	2001	52.60791103	1.55927369	-0.021569747	6 12	61 128	NA
oak	132	132	132	2001	52.62695064	-1.652782241	-0.002530132	6 8	60 84	NA
oak	127	127	127	2001	52.31726151	-1.898732177	-0.312219262	5 8	53 81	NA
oak	97	97	97	2001	50.18559605	-5.286310781	-2.443884724	0 3	7 33	NA
oak	130	130	130	2001	52.87015206	-1.341839884	0.240671284	6 8	66 88	NA
oak	129	129	129	2001	54.33533353	-2.911171433	1.705852751	9 6	98 68	NA
oak	125	125	125	2001	50.49640221	-4.19944679	-2.133078569	1 4	13 48	NA
oak	129	129	129	2001	52.45321841	-1.957208524	-0.176262365	5 8	56 80	NA
oak	131	131	131	2001	52.9243616	-1.393079676	0.294880826	6 8	67 88	NA
oak	138	138	138	2001	55.12000702	-6.601917783	2.490526241	11 2	118 21	NA
oak	128	128	128	2001	51.95714785	0.235401248	-0.672332921	4 11	46 110	NA
oak	127	127	127	2001	52.64637778	-2.450745647	0.016897003	6 7	61 73	NA
oak	134	134	134	2001	52.09255203	-4.176378384	-0.536928742	4 5	49 50	NA
oak	128	128	128	2001	51.25614456	-2.51152607	-1.373336215	3 7	30 72	NA
oak	121	121	121	2001	51.85377773	-4.664387534	-0.775703046	4 4	44 43	NA
oak	132	132	132	2001	53.13784588	-2.012650443	0.508365104	7 7	72 79	NA
oak	116	116	116	2001	51.06212381	0.634455951	-1.567356969	2 11	26 116	NA
oak	128	128	128	2001	51.9231029	-4.08090779	-0.706377874	4 5	45 51	NA
oak	136	136	136	2001	51.58846833	-1.4095941	-1.041012444	3 8	37 88	NA
oak	136	136	136	2001	51.4701927	-0.953293522	-1.159288076	3 9	35 94	NA
oak	132	132	132	2001	51.01340494	0.241378145	-1.616075834	2 11	25 111	NA
oak	128	128	128	2001	52.12174314	-2.332966056	-0.507737632	4 7	49 75	NA
oak	116	116	116	2001	51.25186088	0.555000467	-1.377619895	3 11	30 115	NA
oak	140	140	140	2001	52.39059619	-2.559812063	-0.238884585	5 7	55 72	NA
oak	121	121	121	2001	51.97324777	0.862321541	-0.656233009	4 11	46 119	NA
oak	122	122	122	2001	51.74505929	-0.441433324	-0.884421486	4 10	41 101	NA
oak	118	118	118	2001	50.78380532	-1.140333675	-1.845675451	1 9	19 92	NA
oak	141	141	141	2001	51.69154493	-1.95655172	-0.937935849	3 8	39 80	NA
oak	136	136	136	2001	54.99243762	-1.602984819	2.362956849	11 8	113 85	NA
oak	132	132	132	2001	51.62949288	0.298727676	-0.999987894	3 11	38 111	NA
oak	115	115	115	2001	50.71191737	-1.446163224	-1.917563407	1 8	18 87	NA
oak	127	127	127	2001	50.84112166	-3.761092088	-1.78835912	2 5	21 55	NA
oak	132	132	132	2001	53.32025289	-2.255159643	0.690772111	7 7	76 76	NA
oak	116	116	116	2001	51.4833864	-2.728642265	-1.146094377	3 6	35 69	NA
oak	130	130	130	2001	51.63712609	-0.738482383	-0.992354688	3 9	38 97	NA
oak	132	132	132	2001	53.71406071	-1.806022741	1.084579934	8 8	84 82	NA
oak	125	125	125	2001	50.74449236	-2.94246548	-1.884988412	1 6	18 66	NA
oak	114	114	114	2001	51.38443436	-0.399032929	-1.245046419	3 10	33 102	NA
oak	132	132	132	2001	52.4562033	-1.879239411	-0.173277473	5 8	56 81	NA
oak	127	127	127	2001	52.29802123	-1.278497826	-0.331459541	5 8	53 89	NA
