year,species,nest_date,hatch_date,fledge_date
2010,Long_billed_Dowitcher,18-06-19,18-07-18,NA
2011,Long_billed_Dowitcher,18-06-21,18-07-09,NA
2012,Long_billed_Dowitcher,18-06-15,18-06-27,NA
2013,Long_billed_Dowitcher,18-06-11,NA,18-08-16
2014,Long_billed_Dowitcher,18-06-19,NA,NA
2015,Long_billed_Dowitcher,18-06-10,18-07-03,18-07-22
2016,Long_billed_Dowitcher,18-06-08,18-06-28,18-07-22
2017,Long_billed_Dowitcher,18-06-26,NA,NA
2009,Lesser_Yellowlegs,18-06-25,18-07-07,NA
2005,Red_necked_Phalarope,18-06-28,NA,NA
2006,Red_necked_Phalarope,18-06-15,NA,NA
2008,Red_necked_Phalarope,18-06-17,18-07-12,NA
2009,Red_necked_Phalarope,18-06-11,18-06-28,y
2010,Red_necked_Phalarope,18-06-13,18-07-06,18-07-29
2011,Red_necked_Phalarope,18-06-13,18-06-28,18-07-21
2012,Red_necked_Phalarope,18-06-03,18-06-24,NA
2013,Red_necked_Phalarope,18-06-13,18-07-04,NA
2014,Red_necked_Phalarope,18-06-10,18-07-10,NA
2015,Red_necked_Phalarope,18-06-06,18-06-23,18-07-13
2016,Red_necked_Phalarope,NA,18-06-26,NA
2017,Red_necked_Phalarope,18-06-18,18-07-09,18-07-22
2018,Red_necked_Phalarope,18-06-22,NA,NA
2005,Red_Phalarope,NA,18-07-01,NA
2006,Red_Phalarope,18-06-10,18-07-02,NA
2007,Red_Phalarope,NA,18-06-30,NA
2008,Red_Phalarope,18-06-09,NA,NA
2009,Red_Phalarope,18-06-07,18-06-28,y
2010,Red_Phalarope,18-06-12,18-07-06,NA
2011,Red_Phalarope,18-06-05,18-06-29,NA
2012,Red_Phalarope,18-06-04,18-06-25,18-07-19
2013,Red_Phalarope,18-06-09,18-06-24,18-07-20
2014,Red_Phalarope,18-06-11,18-07-04,18-07-24
2015,Red_Phalarope,18-06-03,18-06-20,18-07-08
2016,Red_Phalarope,18-06-02,18-06-18,18-07-08
2017,Red_Phalarope,18-06-15,18-07-09,18-07-15
2018,Red_Phalarope,NA,18-07-10,NA
2006,Pomarine_Jaeger,18-06-15,NA,NA
2008,Pomarine_Jaeger,18-06-10,18-07-08,NA
2010,Pomarine_Jaeger,18-06-28,NA,NA
2011,Pomarine_Jaeger,18-06-28,18-07-24,NA
