YEAR,SEX,BIRTH_DATE,FAMILY,EARLY_SURVIVAL
99,1,139.5,0,0
99,1,140,0,1
99,2,141,0,0
99,1,141,0,1
99,1,142,0,0
99,2,142,0,0
99,1,142,0,0
99,2,142.5,0,0
99,2,144.5,0,0
99,1,144.5,0,0
99,2,145,0,1
99,1,146,0,1
99,1,148,0,0
99,2,149,0,0
99,1,150,0,0
99,1,152,0,0
99,1,152,0,1
99,1,157,0,1
99,1,158,0,0
99,2,160,0,0
99,1,125,118,1
99,2,125,118,1
99,2,128,119,1
99,2,128,119,1
99,2,127,120,0
99,2,127,120,0
99,2,129,121,1
99,2,129,121,1
99,2,130,122,0
99,1,130,122,0
99,1,135,123,0
99,1,135,123,1
99,1,139,124,0
99,1,139,124,0
99,1,140,125,0
99,2,140.5,125,0
99,1,143,126,0
99,1,145,126,0
99,1,146,127,0
99,1,146,127,0
99,2,152.5,128,1
99,2,152.5,128,1
99,1,150,129,0
99,2,150,129,0
100,2,120.5,0,1
100,1,122.5,0,0
100,1,129,0,0
100,1,130,0,1
100,1,131,0,0
100,2,133.5,0,0
100,1,134,0,1
100,1,134,0,1
100,1,136,0,1
100,1,137,0,1
100,2,137.5,0,1
100,1,139.5,0,0
100,1,140,0,1
100,2,140.5,0,1
100,1,142.5,0,0
100,1,143,0,0
100,2,143,0,1
100,2,145.5,0,1
100,1,147,0,1
100,1,148,0,0
100,2,151,0,0
100,2,152,0,1
100,1,152.5,0,1
100,2,156,0,0
100,1,158,0,0
100,1,125,130,1
100,2,125,130,1
100,1,137,131,0
100,1,137,131,1
100,2,137,132,0
100,1,137,132,0
100,1,140,133,0
100,1,140,133,1
100,2,144,134,0
100,1,144,134,0
100,1,139.5,135,0
100,1,139.5,135,1
100,1,151,136,0
100,2,151,136,1
101,1,125,0,1
101,2,125.5,0,1
101,1,126,0,0
101,2,128,0,1
101,1,129,0,1
101,1,134.5,0,1
101,1,135.5,0,0
101,2,136,0,1
101,2,136,0,1
101,2,138,0,0
101,2,140,0,0
101,2,140.5,0,1
101,2,145,0,1
101,1,147,0,0
101,2,148.5,0,1
101,1,126,137,0
101,1,126,137,1
101,2,126,138,0
101,1,126,138,1
101,1,132.5,139,0
101,2,132.5,139,1
101,2,136,140,0
101,2,136,140,0
101,2,139,141,0
101,1,139,141,0
101,2,135.5,142,0
101,2,135.5,142,1
101,1,142,143,0
101,2,142,143,1
101,2,137,144,1
101,1,137,144,1
101,2,144,145,0
101,1,144,145,0
101,2,144,146,0
101,1,144,146,1
101,2,148,147,0
101,2,148,147,0
101,2,147,148,0
101,1,147,148,1
101,1,148,149,1
101,1,148,149,1
102,1,118,0,1
102,1,121,0,1
102,1,125,0,1
102,1,128.5,0,0
102,1,131,0,0
102,NA,131.5,0,0
102,2,132,0,0
102,1,133,0,0
102,2,133,0,1
102,2,135,0,0
102,1,135,0,0
102,2,136,0,0
102,1,136,0,1
102,2,136,0,1
102,2,136,0,1
102,2,137,0,0
102,1,137,0,0
102,2,137,0,1
102,2,138,0,1
102,1,138,0,1
102,1,139,0,1
102,1,139.5,0,0
102,1,140,0,0
102,1,141,0,0
102,2,141,0,1
102,1,141,0,1
102,2,143.5,0,0
102,1,144,0,0
102,1,144,0,0
102,1,145,0,0
102,1,145,0,0
102,2,145,0,0
102,2,146,0,0
102,1,147,0,0
102,1,149,0,0
102,1,126,150,0
102,1,126,150,1
102,1,136,151,0
102,1,136,151,0
102,1,137,152,0
102,2,137,152,0
102,2,135,153,0
102,2,135,153,0
102,2,136,154,1
102,1,136,154,1
102,2,139,155,1
102,2,139,155,1
102,2,141,156,0
102,1,141,156,0
102,1,140,157,0
102,1,140,157,0
102,1,138.5,158,1
102,1,138.5,158,1
103,2,122,0,1
103,1,123,0,1
103,2,126,0,0
103,2,127,0,0
103,1,127,0,1
103,1,128,0,0
103,1,130,0,1
103,2,131,0,0
103,1,133,0,0
103,2,134,0,0
103,2,134,0,1
103,2,134,0,1
103,2,134,0,1
103,1,135,0,1
103,2,135,0,1
103,2,136,0,0
103,1,136,0,0
103,2,136,0,0
103,1,136,0,1
103,2,136,0,1
103,1,137,0,0
103,2,137,0,0
103,1,137,0,1
103,1,138,0,0
103,2,138,0,0
103,2,138,0,0
103,1,138,0,1
103,2,139,0,0
103,NA,140,0,0
103,2,140,0,0
103,2,140,0,1
103,1,141,0,0
103,2,141,0,0
103,1,141,0,0
103,2,142,0,0
103,2,143,0,1
103,2,145,0,0
103,2,149,0,0
103,1,129,159,0
103,2,129,159,1
103,1,130,160,0
103,2,130,160,0
103,1,129,161,0
103,2,129,161,1
103,2,128,162,0
103,1,128,162,1
103,1,134,163,0
103,2,134,163,0
103,2,133,164,0
103,1,133,164,1
103,2,136,165,0
103,2,136,165,0
103,2,137,166,0
103,1,137,166,0
103,2,139,167,0
103,1,139,167,0
103,2,139,168,0
103,2,139,168,0
103,1,128,169,1
103,1,128,169,1
103,2,144,170,0
103,1,144,170,0
103,2,144,171,0
103,1,144,171,1
103,1,145,172,0
103,1,145,172,0
103,1,145,173,0
103,2,145,173,0
103,2,145,174,0
103,2,145,174,1
103,2,149,175,0
103,1,149,175,1
103,1,149,176,0
103,2,149,176,0
104,1,121,0,1
104,1,122,0,0
104,1,124,0,0
104,1,124,0,1
104,1,127,0,1
104,2,128,0,1
104,2,130,0,0
104,1,131,0,0
104,1,132,0,0
104,2,134,0,0
104,1,135,0,1
104,2,136,0,1
104,1,136,0,1
104,1,137,0,0
104,1,139,0,0
104,1,139,0,1
104,2,140,0,0
104,2,141,0,0
104,2,141,0,0
104,1,141,0,1
104,2,142,0,1
104,2,143,0,1
104,1,143,0,1
104,1,144,0,0
104,2,144,0,0
104,1,145,0,0
104,2,145,0,1
104,2,145,0,1
104,1,148,0,0
104,2,149,0,0
104,1,121,177,0
104,1,121,177,1
104,1,119.5,178,0
104,1,119.5,178,1
104,2,121,179,0
104,2,121,179,0
104,1,118,180,0
104,2,118,180,1
104,1,131,182,0
104,1,131,182,0
104,2,133.5,183,0
104,2,133.5,183,1
104,2,132,184,1
104,2,132,184,1
104,2,135,185,0
104,2,135,185,1
104,2,135,186,0
104,1,135,186,1
104,2,136,187,0
104,1,136,187,0
104,1,135,188,0
104,1,135,188,1
104,2,141,189,0
104,1,141,189,0
104,1,141,189,0
104,2,142,190,0
104,1,142,190,0
104,2,143,191,0
104,1,143,191,0
104,2,142,192,0
104,1,142,192,0
104,1,143,193,0
104,2,143,193,0
104,2,137,194,0
104,1,137,194,1
104,1,147,195,0
104,1,147,195,1
104,2,144,196,0
104,2,144,196,1
105,2,115,0,0
