book_page,year,site,bander,date,time,nestID,unique_nestID,plot,plotLmt,band_in,band_out,original_band,species,dead,current_double_banded,color_combo_different,band_change,recap_betw_year,recap_witn_year,how_cap,stage_of_capt,ul_in,ll_in,ur_in,lr_in,gfe_in,ul_out,ll_out,ur_out,lr_out,gfe_out,picture,rel_status,ffm_s10,ffm_s9,ffm_s8,ffm_s7,ffm_s6,ffm_s5,ffm_s4,ffm_s3,ffm_s2,ffm_s1,ffm_p1,ffm_p2,ffm_p3,ffm_p4,ffm_p5,ffm_p6,ffm_p7,ffm_p8,ffm_p9,ffm_p10,tfm_1,tfm_2,tfm_3,tfm_4,tfm_5,tfm_6,bm_head,bm_neck,bm_back,bm_brst,bm_abd,culmen,total_head,tarsus,wing,toe,fat,weight,cone_wt,final_wt,field_sex,CHD_sex,DFA_score,DFA_sex,final_sex,how_sex,age,how_age,lat_corrected,long_corrected,total_blood_amt,genetic_blood_capillary_tube,genetic_blood_preservative,Hg_blood,ecotox_blood,stable_isotope_blood,malaria_blood,immune_blood,total_feathers_coll,Hg_feathers,pesa_feathers,contaminant_feathers,moss_feathers,AI_cloaca,AI_oral,AI_feces,fecal_sample,geo_serial_number,gps_tag_number,radio_transmitter,comments
1.21,2003,barr,rlanctot,03-06-22,1510,reph311,03reph311,brw1,in,NA,168181043,168181043,reph,NA,y,n,n,n,n,bownet,inc,-,-,-,-,NA,-,"r,gf",m,"o,y",NA,NA,band/rel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,45.5,21.3,129,20.2,1,67.5,18.5,49,m,NA,NA,NA,m,plumage,ahy,plumage,71.2976,-156.63541,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.22,2003,barr,rlanctot,03-06-22,1705,reph307,03reph307,brw1,in,NA,168181044,168181044,reph,NA,n,n,n,n,n,bownet,inc,-,-,-,-,NA,-,"r,gf",m,"o,dg",NA,NA,band/rel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.7,45.6,22,130,22,1,62.5,18.5,44,m,NA,NA,NA,m,plumage,ahy,plumage,71.29868,-156.62923,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.23,2003,barr,rlanctot,03-06-22,1816,pesa510,03pesa510,brw1,in,NA,168181045,168181045,pesa,NA,n,n,n,n,n,bownet,inc,-,-,-,-,NA,"r,gf",-,"m,db,bk",-,NA,NA,band/rel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.6,54,27.5,126,22.2,1,78,18.5,59.5,f,NA,NA,NA,f,plumage,ahy,plumage,71.29478,-156.63137,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.24,2003,barr,rlanctot,03-06-23,1243,du8,03du8,NARL,out,NA,168181046,168181046,dunl,NA,n,n,n,n,n,bownet,inc,-,-,-,-,NA,-,"gf,r",m,"lb,o",NA,NA,band/rel,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.6,59.5,25.7,120,19,1,75,18.5,56.5,u,NA,35.80653,NA,u,NA,ahy,plumage,71.1599,-156.33774,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,forgot to solder flag
1.25,2003,barr,rlanctot,03-06-23,1319,du9,03du9,NARL,out,NA,168181047,168181047,dunl,NA,n,n,n,n,n,bownet,inc,-,-,-,-,NA,-,"gf,r",m,"r,o",NA,NA,band/rel,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.8,61,27.6,124,21.3,1,74.5,18.5,56,u,NA,37.38724,NA,u,NA,sy,plumage,71.15679,-156.34059,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.26,2003,barr,ataylor,03-06-23,2332,reph002,03reph002,brw3,in,NA,168181048,168181048,reph,NA,n,n,n,n,n,bownet,inc,-,-,-,-,NA,-,"r,gf",m,"o,r",NA,NA,band/rel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,45.5,20,129,19.1,1,61.5,18.5,43,m,NA,NA,NA,m,plumage,ahy,plumage,71.26984,-156.53314,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.27,2003,barr,rlanctot,03-06-24,48,dunl507,03dunl507,brw3,out,NA,168181049,168181049,dunl,NA,y,n,n,n,n,bownet,inc,-,-,-,-,NA,-,"r,gf",m,"y,lg",NA,NA,band/rel,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.9,64.2,27.4,121,19.7,1,81,18.5,62.5,f,NA,38.42899,NA,f,chd,sy,plumage,71.25699,-156.53532,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.28,2003,barr,rlanctot,03-06-24,1446,reph511,03reph511,brw2,in,NA,168181050,168181050,reph,NA,n,n,n,n,n,bownet,inc,-,-,-,-,NA,-,"r,gf",m,"r,lg",NA,NA,band/rel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5,47,23.1,131,23.4,1,69,18.5,50.5,m,NA,NA,NA,m,plumage,ahy,plumage,71.29106,-156.64721,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.29,2003,barr,rlanctot,03-06-24,1552,reph405,03reph405,brw2,in,NA,168181051,168181051,reph,NA,n,n,n,n,n,bownet,inc,-,-,-,-,NA,-,"gf,r",m,"y,lg",NA,NA,band/rel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,47.2,21.6,125,20.7,0,61,18.5,42.5,m,NA,NA,NA,m,plumage,ahy,plumage,71.2919,-156.64377,10,NA,longmire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.31,2003,barr,ataylor,03-06-25,1513,dunl101,03dunl101,brw3,in,NA,168181052,168181052,dunl,NA,n,n,n,n,n,bownet,inc,-,-,-,-,NA,-,"gf,r",m,"dg,lg",NA,NA,band/rel,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.5,60.2,27.9,122,20.5,1,83,18.5,64.5,f,NA,37.21447,NA,f,chd,sy,plumage,71.27106,-156.52818,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
