year,day,species,mass,,,
1997,24,RUTU,136,,,
1997,24,RUTU,146,,,
1997,24,RUTU,149,,,
1997,24,RUTU,146,,,
1997,24,RUTU,136,,,
1997,24,RUTU,124,,,
1997,24,RUTU,136,,,
1997,24,RUTU,114,,,
1997,24,RUTU,109,,,
1997,24,RUTU,120,,,
1997,24,RUTU,119,,,
1997,24,RUTU,138,,,
1997,24,RUTU,112,,,
1997,24,REKN,175,,,
1997,24,REKN,185,,,
1997,24,REKN,189,,,
1997,24,REKN,114,,,
1997,24,REKN,176,,,
1997,24,REKN,171,,,
1997,24,REKN,173,,,
1997,24,REKN,190,,,
1997,24,REKN,122,,,
1997,24,REKN,212,,,
1997,24,REKN,166,,,
1997,24,REKN,170,,,
1997,24,REKN,164,,,
1997,24,REKN,168,,,
1997,24,REKN,204,,,
1997,24,REKN,169,,,
1997,24,REKN,154,,,
1997,24,REKN,185,,,
1997,24,REKN,163,,,
1997,24,REKN,144,,,
1997,24,REKN,160,,,
1997,24,REKN,191,,,
1997,24,REKN,168,,,
1997,24,REKN,172,,,
1997,24,REKN,144,,,
1997,24,REKN,173,,,
1997,24,REKN,181,,,
1997,24,REKN,147,,,
1997,24,REKN,115,,,
1997,24,REKN,144,,,
1997,24,REKN,182,,,
1997,24,REKN,148,,,
1997,24,REKN,159,,,
1997,24,REKN,153,,,
1997,24,REKN,186,,,
1997,24,REKN,113,,,
1997,24,REKN,183,,,
1997,24,REKN,185,,,
1997,24,REKN,203,,,
1997,24,REKN,182,,,
1997,24,REKN,184,,,
1997,24,REKN,183,,,
1997,24,REKN,164,,,
1997,24,REKN,160,,,
1997,24,REKN,199,,,
1997,24,REKN,155,,,
1997,24,REKN,182,,,
1997,24,REKN,183,,,
1997,24,REKN,143,,,
1997,24,REKN,150,,,
1997,24,REKN,197,,,
1997,24,REKN,112,,,
1997,24,REKN,140,,,
1997,24,REKN,148,,,
1997,24,REKN,185,,,
1997,24,REKN,184,,,
1997,24,REKN,204,,,
1997,24,REKN,151,,,
1997,24,REKN,212,,,
1997,24,REKN,221,,,
1997,24,REKN,189,,,
1997,24,REKN,191,,,
1997,24,REKN,200,,,
1997,24,REKN,184,,,
1997,24,REKN,167,,,
1997,24,REKN,189,,,
1997,24,REKN,170,,,
1997,24,REKN,152,,,
1997,24,REKN,116,,,
1997,24,REKN,204,,,
1997,24,REKN,184,,,
1997,24,REKN,173,,,
1997,24,REKN,197,,,
1997,24,REKN,195,,,
1997,24,REKN,181,,,
1997,24,REKN,193,,,
1997,24,REKN,186,,,
1997,24,REKN,177,,,
1997,24,REKN,162,,,
1997,24,REKN,155,,,
1997,24,REKN,129,,,
1997,24,REKN,183,,,
1997,24,REKN,200,,,
1997,24,REKN,150,,,
1997,24,REKN,183,,,
1997,24,REKN,203,,,
1997,24,REKN,189,,,
1997,24,REKN,173,,,
1997,24,REKN,182,,,
1997,24,REKN,183,,,
1997,24,REKN,173,,,
1997,24,REKN,175,,,
1997,24,RUTU,155,,,
1997,24,RUTU,133,,,
1997,25,REKN,130,,,
1997,25,REKN,138,,,
1997,25,REKN,201,,,
1997,25,REKN,110,,,
1997,25,REKN,196,,,
1997,25,REKN,187,,,
1997,25,REKN,150,,,
1997,25,REKN,215,,,
1997,25,REKN,217,,,
1997,25,REKN,166,,,
1997,25,REKN,181,,,
1997,25,REKN,176,,,
1997,25,REKN,192,,,
1997,25,REKN,144,,,
1997,25,REKN,111,,,
1997,25,REKN,154,,,
1997,25,REKN,200,,,
1997,25,REKN,170,,,
1997,25,REKN,188,,,
1997,25,REKN,160,,,
1997,25,REKN,192,,,
1997,25,REKN,194,,,
1997,25,REKN,202,,,
1997,25,REKN,186,,,
1997,25,REKN,190,,,
1997,25,REKN,157,,,
1997,25,REKN,206,,,
1997,25,REKN,217,,,
1997,25,REKN,217,,,
1997,25,REKN,197,,,
1997,25,REKN,191,,,
1997,25,REKN,197,,,
1997,25,REKN,172,,,
1997,25,REKN,176,,,
1997,25,REKN,186,,,
1997,25,REKN,169,,,
1997,25,REKN,164,,,
1997,25,REKN,202,,,
1997,25,REKN,182,,,
1997,25,REKN,191,,,
1997,25,REKN,192,,,
1997,25,REKN,216,,,
1997,25,REKN,171,,,
1997,25,REKN,214,,,
1997,25,REKN,124,,,
1997,25,REKN,173,,,
1997,25,REKN,188,,,
1997,25,REKN,186,,,
1997,25,REKN,201,,,
1997,25,REKN,168,,,
1997,25,REKN,176,,,
1997,25,REKN,174,,,
1997,25,REKN,193,,,
1997,26,REKN,218,,,
1997,26,REKN,213,,,
1997,26,REKN,216,,,
1997,26,REKN,176,,,
1997,26,REKN,203,,,
1997,26,REKN,148,,,
1997,26,REKN,177,,,
1997,26,REKN,195,,,
1997,26,REKN,202,,,
1997,26,REKN,190,,,
1997,26,REKN,169,,,
1997,26,REKN,198,,,
1997,26,REKN,157,,,
1997,26,REKN,153,,,
1997,26,REKN,176,,,
1997,26,REKN,193,,,
1997,26,REKN,167,,,
1997,26,REKN,202,,,
1997,26,REKN,112,,,
1997,26,REKN,199,,,
1997,26,REKN,192,,,
1997,26,REKN,164,,,
1997,26,REKN,177,,,
1997,26,REKN,191,,,
1997,26,REKN,172,,,
1997,26,REKN,185,,,
1997,26,REKN,190,,,
1997,26,REKN,193,,,
1997,26,REKN,176,,,
1997,26,REKN,180,,,
1997,26,REKN,198,,,
1997,26,REKN,161,,,
1997,26,REKN,176,,,
1997,26,REKN,200,,,
1997,26,REKN,192,,,
1997,26,REKN,190,,,
1997,26,REKN,183,,,
1997,26,REKN,205,,,
1997,26,REKN,145,,,
1997,26,REKN,175,,,
1997,26,REKN,202,,,
1997,26,REKN,183,,,
1997,26,REKN,193,,,
1997,26,REKN,207,,,
1997,26,REKN,182,,,
1997,26,REKN,197,,,
1997,26,REKN,187,,,
1997,26,REKN,189,,,
1997,26,REKN,160,,,
1997,26,REKN,195,,,
1997,26,REKN,177,,,
1997,26,REKN,125,,,
1997,26,REKN,199,,,
1997,26,REKN,181,,,
1997,26,REKN,160,,,
1997,26,REKN,156,,,
1997,26,REKN,173,,,
1997,26,REKN,147,,,
1997,26,REKN,177,,,
1997,26,REKN,197,,,
1997,26,REKN,182,,,
1997,26,REKN,207,,,
1997,26,REKN,182,,,
1997,26,REKN,177,,,
1997,26,REKN,216,,,
1997,26,REKN,198,,,
1997,26,REKN,182,,,
1997,26,REKN,204,,,
1997,26,REKN,178,,,
1997,26,REKN,206,,,
1997,26,REKN,204,,,
1997,26,REKN,188,,,
1997,26,REKN,212,,,
1997,26,REKN,222,,,
1997,26,REKN,208,,,
1997,26,REKN,184,,,
1997,26,REKN,208,,,
1997,26,REKN,119,,,
1997,26,REKN,189,,,
1997,26,REKN,208,,,
1997,26,REKN,176,,,
1997,26,REKN,162,,,
1997,26,REKN,201,,,
1997,26,REKN,186,,,
1997,26,REKN,194,,,
1997,26,REKN,174,,,
1997,26,REKN,178,,,
1997,26,REKN,208,,,
1997,26,REKN,193,,,
1997,26,REKN,174,,,
1997,26,REKN,170,,,
1997,26,REKN,206,,,
1997,26,REKN,179,,,
1997,26,REKN,191,,,
1997,26,REKN,176,,,
1997,26,REKN,138,,,
1997,26,REKN,184,,,
1997,26,REKN,204,,,
1997,26,REKN,104,,,
1997,26,REKN,205,,,
1997,26,REKN,188,,,
1997,26,REKN,156,,,
1997,26,REKN,192,,,
1997,26,REKN,182,,,
1997,26,REKN,142,,,
1997,26,REKN,186,,,
1997,26,REKN,192,,,
1997,26,REKN,169,,,
1997,26,REKN,164,,,
1997,26,REKN,177,,,
1997,26,REKN,178,,,
1997,26,REKN,155,,,
1997,26,REKN,191,,,
1997,26,REKN,191,,,
1997,26,REKN,185,,,
1997,26,REKN,108,,,
1997,26,REKN,177,,,
1997,26,REKN,169,,,
1997,26,REKN,165,,,
1997,26,REKN,182,,,
1997,26,REKN,208,,,
1997,26,REKN,186,,,
1997,26,REKN,178,,,
1997,26,REKN,167,,,
1997,26,REKN,168,,,
1997,26,REKN,197,,,
1997,26,REKN,203,,,
1997,26,REKN,116,,,
1997,26,REKN,187,,,
1997,26,REKN,194,,,
1997,26,REKN,184,,,
1997,26,RUTU,141,,,
1998,1,RUTU,97,,,
1998,1,RUTU,108,,,
1998,1,RUTU,93,,,
1998,1,RUTU,94,,,
1998,1,RUTU,107,,,
1998,1,RUTU,102,,,
1998,1,RUTU,95,,,
1998,1,RUTU,93,,,
1998,1,RUTU,105,,,
1998,1,RUTU,97,,,
1998,1,RUTU,98,,,
1998,1,RUTU,94,,,
1998,1,RUTU,94,,,
1998,1,RUTU,101,,,
1998,1,RUTU,104,,,
1998,1,RUTU,96,,,
1998,4,REKN,128,,,
1998,4,REKN,95,,,
1998,4,REKN,136,,,
1998,4,REKN,121,,,
1998,4,REKN,104,,,
1998,4,REKN,124,,,
1998,4,RUTU,92,,,
1998,4,RUTU,112,,,
1998,4,RUTU,118,,,
1998,4,RUTU,103,,,
1998,4,RUTU,99,,,
1998,4,RUTU,108,,,
1998,4,RUTU,103,,,
1998,4,RUTU,92,,,
1998,4,RUTU,92,,,
1998,4,RUTU,101,,,
1998,4,RUTU,86,,,
1998,4,RUTU,111,,,
1998,4,RUTU,89,,,
1998,4,RUTU,105,,,
1998,4,RUTU,101,,,
1998,4,RUTU,104,,,
1998,4,RUTU,98,,,
1998,4,RUTU,84,,,
1998,4,RUTU,84,,,
1998,4,RUTU,100,,,
