book_page,year,site,bander,date,time,nestID,unique_nestID,plot,plotLmt,band,species,chick_egg_number,recap_witn_year,stage_of_capt,ul,ll,ur,lr,gfe,rel_status,dead,culmen,tarsus,wing,weight,cone_wt,final_wt,est_age,lat,long,blood,genetic_blood_capillary_tube,genetic_blood_preservative,stable_isotope,buccal,color,gut,radio_transmitter,comments
NA,2003,barr,breed2003,03-07-17,NA,reph325,03reph325,brw1,in,168180584,reph,chick1,n,nest,-,r,m,-,NA,band/rel,n,8.8,19.8,NA,NA,NA,5,1,71.299,-156.63832,40,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-17,NA,reph325,03reph325,brw1,in,168180585,reph,chick2,n,nest,-,r,m,-,NA,band/rel,n,8.4,19.4,NA,NA,NA,5,1,71.299,-156.63832,50,NA,NA,NA,NA,NA,NA,NA,NA
1.incidental,2003,barr,breed2003,03-07-17,NA,dunlC,03dunlC,brw1,NA,168180586,dunl,chick1,n,brood,"gf,r",-,-,m,NA,band/rel,n,18.7,25.1,NA,NA,NA,32,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,parent did not stay in area during banding
1.incidental,2003,barr,breed2003,03-07-17,NA,dunlC,03dunlC,brw1,NA,168180587,dunl,chick2,n,brood,"gf,r",-,-,m,NA,band/rel,n,21,25.5,NA,NA,NA,34.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,parent did not stay in area during banding
NA,2003,barr,breed2003,03-07-17,NA,reph325,03reph325,brw1,in,168180588,reph,chick3,n,nest,-,r,m,-,NA,band/rel,n,8.3,19.3,NA,NA,NA,3.5,1,71.299,-156.63832,40,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-17,NA,reph325,03reph325,brw1,in,168180589,reph,chick4,n,nest,-,r,m,-,NA,band/rel,n,8.7,18.7,NA,NA,NA,5,1,71.299,-156.63832,40,NA,NA,NA,NA,NA,NA,NA,NA
1.incidental,2003,barr,breed2003,03-07-17,NA,dunlC,03dunlC,brw1,NA,168180590,dunl,chick3,n,brood,"gf,r",-,-,m,NA,band/rel,n,18.2,23.8,NA,NA,NA,24,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,parent did not stay in area during banding
1.incidental,2003,barr,breed2003,03-07-17,NA,dunlC,03dunlC,brw1,NA,168180591,dunl,chick4,n,brood,"gf,r",-,-,m,NA,band/rel,n,19.4,25.1,NA,NA,NA,30.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,parent did not stay in area during banding
NA,2003,barr,breed2003,03-07-02,NA,dunl300,03dunl300,brw1,in,168180611,dunl,chick1,n,nest,"gf,r",-,-,m,NA,band/rel,n,10.7,24.4,NA,NA,NA,8.5,1,71.29813,-156.6295,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-02,NA,reph320,03reph320,brw1,in,168180616,reph,chick1,n,nest,-,r,m,-,NA,band/rel,n,8,18,NA,NA,NA,5,0,71.29611,-156.62907,50,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-02,NA,reph320,03reph320,brw1,in,168180617,reph,chick2,n,nest,-,r,m,-,NA,band/rel,n,7.5,18.6,NA,NA,NA,5.5,0,71.29611,-156.62907,35,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-06,NA,reph208,03reph208,brw3,in,168180622,reph,chick1,n,nest,-,r,m,-,NA,band/rel,n,7.8,19.4,NA,NA,NA,6,1,71.26889,-156.53639,30,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-06,NA,reph208,03reph208,brw3,in,168180623,reph,chick2,n,nest,-,r,m,-,NA,band/rel,n,8.2,19.1,NA,NA,NA,4.5,1,71.26889,-156.53639,20,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-06,NA,reph208,03reph208,brw3,in,168180624,reph,chick3,n,nest,-,r,m,-,NA,band/rel,n,8.3,19.9,NA,NA,NA,6.5,1,71.26889,-156.53639,10,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-06,NA,reph208,03reph208,brw3,in,168180625,reph,chick4,n,nest,-,r,m,-,NA,band/rel,n,8.3,19.5,NA,NA,NA,5.5,1,71.26889,-156.53639,15,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-06,NA,reph209,03reph209,brw3,in,168180626,reph,chick1,n,nest,-,r,m,-,NA,band/rel,n,8,18.8,NA,NA,NA,5,1,71.2698,-156.53716,20,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-06,NA,reph209,03reph209,brw3,in,168180627,reph,chick2,n,nest,-,r,m,-,NA,band/rel,n,8.8,18.8,NA,NA,NA,5,1,71.2698,-156.53716,50,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-06,NA,reph209,03reph209,brw3,in,168180628,reph,chick3,n,nest,-,r,m,-,NA,band/rel,n,8.1,19.2,NA,NA,NA,5.5,1,71.2698,-156.53716,30,NA,NA,NA,NA,NA,NA,NA,NA
4.incidental,2003,barr,breed2003,03-07-06,NA,rephA,03rephA,brw4,NA,168180632,reph,chick1,n,brood,-,r,m,-,NA,band/rel,n,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2003,barr,breed2003,03-07-07,NA,reph008,03reph008,brw4,in,168180634,reph,chick1,n,nest,-,r,m,-,NA,band/rel,y,7.2,18.8,NA,NA,NA,NA,0,71.26416,-156.49183,60,NA,NA,NA,NA,NA,NA,NA,found dead in nest 8 july
NA,2003,barr,breed2003,03-07-07,NA,reph008,03reph008,brw4,in,168180635,reph,chick2,n,nest,-,r,m,-,NA,band/rel,y,7.4,18.4,NA,NA,NA,8,0,71.26416,-156.49183,tissue,NA,NA,NA,NA,NA,NA,NA,found dead in nest 8 july
NA,2003,barr,breed2003,03-07-07,NA,reph008,03reph008,brw4,in,168180636,reph,chick3,n,nest,-,r,m,-,NA,band/rel,y,7,17.6,NA,NA,NA,4.5,0,71.26416,-156.49183,tissue,NA,NA,NA,NA,NA,NA,NA,found dead in nest 8 july
NA,2003,barr,breed2003,03-07-07,NA,reph008,03reph008,brw4,in,168180637,reph,chick4,n,nest,-,r,m,-,NA,band/rel,y,7.1,18.6,NA,NA,NA,7,0,71.26416,-156.49183,40,NA,NA,NA,NA,NA,NA,NA,found dead in nest 8 july
4.incidental,2003,barr,breed2003,03-07-09,NA,pesaA,03pesaA,brw4,out,168180639,pesa,chick1,n,brood,-,r,m,-,NA,band/rel,n,16,26.3,NA,NA,NA,23,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chick of pesaA caught by hand south of plot 4
NA,2003,barr,breed2003,03-07-09,NA,reph308,03reph308,brw4,in,168180640,reph,chick1,n,nest,-,r,m,-,NA,band/rel,n,8.4,18.3,NA,NA,NA,5.5,0,71.26386,-156.48467,30,NA,NA,NA,NA,NA,NA,NA,NA
1.incidental,2003,barr,breed2003,03-07-10,NA,rephB,03rephB,brw1,NA,168180642,reph,chick1,n,brood,-,r,m,-,NA,band/rel,n,10.9,20.9,NA,NA,NA,26,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,parent not caught; 4-5 male rephs in vicinity
1.incidental,2003,barr,breed2003,03-07-10,NA,rephB,03rephB,brw1,NA,168180643,reph,chick2,n,brood,-,r,m,-,NA,band/rel,n,10.9,20.7,NA,NA,NA,26,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,parent not caught; 4-5 male rephs in vicinity
1.incidental,2003,barr,breed2003,03-07-10,NA,rephB,03rephB,brw1,NA,168180644,reph,chick3,n,brood,-,r,m,-,NA,band/rel,n,11.1,21.8,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,parent not caught; 4-5 male rephs in vicinity
1.incidental,2003,barr,breed2003,03-07-10,NA,rephB,03rephB,brw1,NA,168180645,reph,chick4,n,brood,-,r,m,-,NA,band/rel,n,11,21,NA,NA,NA,24.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,parent not caught; 4-5 male rephs in vicinity
NA,2003,barr,breed2003,03-07-12,NA,dunl312,03dunl312,brw3,out,168180647,dunl,chick1,n,nest,"gf,r",-,-,m,NA,band/rel,n,11.3,23.6,NA,NA,NA,7.5,0,71.26023,-156.53051,60,NA,NA,NA,NA,NA,NA,NA,NA
