1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,YEAR,DC_DISTANCE TO CENTER,MASS(g),PK_PEAK HEIGHT,HD_HATCHING DATE,HD_HATCHING DATE2,SYN_SYNCHRONY,SYN2_SYNCHRONY2
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,3071.931803,10.1,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1854.004585,9.9,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1854.004585,10.7,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1854.004585,11.6,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1854.004585,10.4,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1854.004585,10.3,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1854.004585,9.6,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1854.004585,11,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1854.004585,10.5,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1038.899418,10,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1038.899418,8.5,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1038.899418,10.6,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1038.899418,10.5,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1038.899418,9,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,1038.899418,9.2,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,3561.72009,11,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,3561.72009,11,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,3561.72009,10.6,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,3561.72009,10.6,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,3561.72009,10.1,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,3561.72009,9.7,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,3561.72009,10.5,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,3561.72009,10.7,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2849.256921,10.2,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2849.256921,10.5,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2849.256921,11.8,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2849.256921,10.2,0.15877875,-1.311827957,1.720892589,-7,49
0,0,0,0,0,0,0,0,1,0,0,0,0,0,2007,2849.256921,11.2,0.15877875,-1.311827957,1.720892589,-7,49
