,id,year,birth,weight,onset_autumn,onset_spring,reproductive_status,agecl2,agecl3,demo,democrash,democrashlag,crash,crashlag
43,55,1999,121.9682817,0.142857143,300,114,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
44,58,1999,136.9357015,0.047619048,300,114,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
45,60,1999,121.9682817,0.142857143,300,114,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
46,62,1999,135.6907174,0.033333333,300,114,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
47,66,1999,122.2630556,0.111111111,300,114,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
48,67,1999,150.7992906,0.125,300,114,no young,2-3-yrs old,1prim,avnt2001,avnt2001,avnt2001,other years,autres
49,68,1999,154.4952777,1,300,114,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
50,75,1999,154.4952777,1,300,114,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
51,76,1999,146.4987919,1,300,114,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
52,77,1999,128.2460767,0.166666667,300,114,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
53,79,1999,121.6207204,0.125,300,114,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
54,80,1999,154.4952777,1,300,114,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
55,83,1999,139.9287696,0.037037037,300,114,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
56,88,1999,144.3678933,0.047619048,300,114,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
57,89,1999,150.2644075,0.111111111,300,114,no young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
58,99,1999,169.9399597,0.142857143,300,114,no young,2-3-yrs old,1prim,avnt2001,avnt2001,avnt2001,other years,autres
59,101,2000,132.1288039,0.090909091,303,108,no young,2-3-yrs old,1prim,avnt2001,avnt2001,avnt2001,other years,autres
60,102,2000,145.4930931,0.333333333,303,108,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
61,103,2000,135.5470375,0.05,303,108,no young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
62,105,2000,120.6470795,0.125,303,108,with young,4-yrs old+,OF,avnt2001,avnt2001,avnt2001,other years,autres
63,112,2000,135.2721929,0.047619048,303,108,no young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
64,115,2000,151.4965954,1,303,108,no young,2-3-yrs old,1prim,avnt2001,avnt2001,avnt2001,other years,autres
65,117,2000,135.2721929,0.047619048,303,108,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
66,118,2000,145.4930931,0.333333333,303,108,no young,2-3-yrs old,1prim,avnt2001,avnt2001,avnt2001,other years,autres
67,42,2000,140.5692099,0.142857143,303,108,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
68,55,2000,117.8161508,0.038461538,303,108,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
69,59,2000,140.5692099,0.142857143,303,108,with young,4-yrs old+,OF,avnt2001,avnt2001,avnt2001,other years,autres
70,60,2000,135.5470375,0.05,303,108,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
71,67,2000,119.449431,0.035714286,303,108,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
72,70,2000,121.954202,0.1,303,108,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
73,75,2000,145.4930931,0.333333333,303,108,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
74,76,2000,136.1487433,0.055555556,303,108,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
75,81,2000,169.9975119,0.066666667,303,108,with young,4-yrs old+,OF,avnt2001,avnt2001,avnt2001,other years,autres
76,83,2000,148.9167612,0.035714286,303,108,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
77,85,2000,123.5088942,1,303,108,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
78,89,2000,131.4352987,0.076923077,303,108,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
79,99,2000,151.4666093,0.058823529,303,108,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
80,101,2001,163.9644691,0.5,305,118,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
81,102,2001,133.8203712,0.058823529,305,118,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
82,103,2001,135.5336964,0.083333333,305,118,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
83,115,2001,168.4744424,0.058823529,305,118,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
84,117,2001,126.6877496,0.2,305,118,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
85,50,2001,168.4744424,0.058823529,305,118,no young,4-yrs old+,OF,avnt2001,avnt2001,avnt2001,other years,autres
86,58,2001,124.236231,0.083333333,305,118,no young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
87,67,2001,138.6117539,0.142857143,305,118,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
88,76,2001,151.771719,0.125,305,118,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
89,80,2001,135.5336964,0.083333333,305,118,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
90,84,2001,152.3890322,0.037037037,305,118,with young,4-yrs old+,OF,avnt2001,avnt2001,avnt2001,other years,autres
91,85,2001,128.9216213,0.052631579,305,118,with young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
92,88,2001,136.0872703,0.076923077,305,118,no young,4-yrs old+,multi,avnt2001,avnt2001,avnt2001,other years,autres
93,102,2002,163.4221892,0.333333333,304,132,lost young,4-yrs old+,multi,aprs2002,effet2002,effet2002,2002,effet2002
94,112,2002,143.9960764,0.166666667,304,132,lost young,4-yrs old+,multi,aprs2002,effet2002,effet2002,2002,effet2002
95,58,2002,127.7063152,0.076923077,304,132,lost young,4-yrs old+,multi,aprs2002,effet2002,effet2002,2002,effet2002
96,60,2002,154.0821905,0.071428571,304,132,no young,4-yrs old+,multi,aprs2002,effet2002,effet2002,2002,effet2002
97,67,2002,138.7714059,0.090909091,304,132,with young,4-yrs old+,multi,aprs2002,effet2002,effet2002,2002,effet2002
98,79,2002,182.5805077,0.038461538,304,132,lost young,4-yrs old+,multi,aprs2002,effet2002,effet2002,2002,effet2002
99,83,2002,138.7714059,0.090909091,304,132,lost young,4-yrs old+,multi,aprs2002,effet2002,effet2002,2002,effet2002
100,102,2003,150.9214291,0.032258065,313,106,with young,4-yrs old+,multi,aprs2002,aprs2003,effet2003,other years,effet2003
101,109,2003,116.7513302,0.125,313,106,lost young,4-yrs old+,multi,aprs2002,aprs2003,effet2003,other years,effet2003
102,111,2003,154.4093201,0.066666667,313,106,with young,4-yrs old+,multi,aprs2002,aprs2003,effet2003,other years,effet2003
103,132,2003,131.5276611,0.052631579,313,106,with young,4-yrs old+,OF,aprs2002,aprs2003,effet2003,other years,effet2003
104,58,2003,131.4303525,0.034482759,313,106,with young,4-yrs old+,OF,aprs2002,aprs2003,effet2003,other years,effet2003
105,67,2003,131.4303525,0.034482759,313,106,lost young,4-yrs old+,multi,aprs2002,aprs2003,effet2003,other years,effet2003
106,102,2004,127.8233544,0.0625,288,111,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
107,103,2004,128.6392852,0.076923077,288,111,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
108,109,2004,128.6392852,0.076923077,288,111,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
109,132,2004,119.5954531,0.333333333,288,111,lost young,4-yrs old+,OF,aprs2002,aprs2003,aprs2003,other years,autres
110,134,2004,127.8233544,0.0625,288,111,no young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
111,136,2004,130.1194273,0.037037037,288,111,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
112,138,2004,127.8233544,0.0625,288,111,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
113,139,2004,136.5791541,0.2,288,111,no young,2-3-yrs old,1prim,aprs2002,aprs2003,aprs2003,other years,autres
114,141,2004,126.6797321,0.045454545,288,111,no young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
115,58,2004,128.6392852,0.076923077,288,111,with young,4-yrs old+,OF,aprs2002,aprs2003,aprs2003,other years,autres
116,67,2004,143.0117706,0.166666667,288,111,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
117,68,2004,128.6392852,0.076923077,288,111,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
118,109,2005,125.1056286,0.0625,297,116,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
119,111,2005,125.574795,0.071428571,297,116,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
120,112,2005,124.904178,0.076923077,297,116,no young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
121,116,2005,130.2348662,0.047619048,297,116,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
122,130,2005,125.574795,0.071428571,297,116,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
123,136,2005,149.4860816,0.071428571,297,116,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
124,138,2005,125.7925573,0.1,297,116,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
125,139,2005,164.667308,0.0625,297,116,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
126,143,2005,125.574795,0.071428571,297,116,lost young,4-yrs old+,OF,aprs2002,aprs2003,aprs2003,other years,autres
127,103,2006,145.9646912,0.166666667,304,108,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
128,109,2006,123.9689852,0.076923077,304,108,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
129,111,2006,120.009241,0.142857143,304,108,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
130,112,2006,125.8855966,0.142857143,304,108,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
131,115,2006,125.8855966,0.142857143,304,108,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
132,132,2006,123.9689852,0.076923077,304,108,no young,4-yrs old+,OF,aprs2002,aprs2003,aprs2003,other years,autres
133,134,2006,147.817456,0.1,304,108,no young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
134,136,2006,125.8855966,0.142857143,304,108,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
135,138,2006,124.1973746,0.0625,304,108,lost young,4-yrs old+,OF,aprs2002,aprs2003,aprs2003,other years,autres
136,139,2006,152.5672993,0.035714286,304,108,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
137,141,2006,123.4953823,0.066666667,304,108,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
138,144,2006,123.9689852,0.076923077,304,108,no young,2-3-yrs old,1prim,aprs2002,aprs2003,aprs2003,other years,autres
139,58,2006,119.3612479,0.111111111,304,108,lost young,4-yrs old+,OF,aprs2002,aprs2003,aprs2003,other years,autres
140,67,2006,128.0492974,0.052631579,304,108,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
141,103,2007,158.4935209,1,325,101,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
142,109,2007,135.5336964,0.083333333,325,101,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
143,111,2007,120.009241,0.142857143,325,101,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
144,112,2007,137.7143948,0.0625,325,101,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
145,115,2007,146.9490035,0.166666667,325,101,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
146,118,2007,120.009241,0.142857143,325,101,no young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
147,130,2007,120.009241,0.142857143,325,101,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
148,134,2007,137.1788176,0.066666667,325,101,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
149,136,2007,123.9689852,0.076923077,325,101,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
150,139,2007,123.9689852,0.076923077,325,101,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
151,141,2007,123.9689852,0.076923077,325,101,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
152,144,2007,120.009241,0.142857143,325,101,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
153,146,2007,159.1665389,0.142857143,325,101,no young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
154,152,2007,134.4039722,0.034482759,325,101,no young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
155,159,2007,166.5697383,0.083333333,325,101,with young,4-yrs old+,OF,aprs2002,aprs2003,aprs2003,other years,autres
156,67,2007,137.1788176,0.066666667,325,101,with young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
157,103,2008,125.2924037,0.166666667,289,112,lost young,4-yrs old+,OF,aprs2002,aprs2003,aprs2003,other years,autres
158,109,2008,125.2924037,0.166666667,289,112,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
159,111,2008,121.4439851,0.043478261,289,112,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
160,115,2008,125.2924037,0.166666667,289,112,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
161,136,2008,125.514218,0.125,289,112,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
162,139,2008,124.5409951,0.125,289,112,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
163,145,2008,125.2514198,0.035714286,289,112,no young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
164,146,2008,159.3102644,0.1,289,112,lost young,4-yrs old+,multi,aprs2002,aprs2003,aprs2003,other years,autres
